Proxy,IP,Port,Categories,TimeTaken,CheckedAt
1.20.169.114:4145,1.20.169.114,4145,"SOCKS4,SOCKS5",0,
1.20.184.75:4153,1.20.184.75,4153,"HTTP,SOCKS4,SOCKS5",0,
1.20.198.254:4153,1.20.198.254,4153,SOCKS4,0,
1.20.200.154:8081,1.20.200.154,8081,"HTTP,HTTPS,SOCKS4,SOCKS5",0,
1.20.203.126:8080,1.20.203.126,8080,HTTP,0,
1.20.207.174:8080,1.20.207.174,8080,HTTP,0,
1.20.207.225:4153,1.20.207.225,4153,"HTTP,SOCKS4,SOCKS5",0,
1.20.207.31:8080,1.20.207.31,8080,SOCKS5,0,
1.20.207.99:8080,1.20.207.99,8080,"HTTP,HTTPS",0,
1.20.220.79:4145,1.20.220.79,4145,"SOCKS4,SOCKS5",0,
1.20.225.123:8080,1.20.225.123,8080,"HTTP,HTTPS",0,
1.20.227.66:4145,1.20.227.66,4145,"HTTP,SOCKS4",0,
1.20.235.153:5678,1.20.235.153,5678,SOCKS4,0,
1.20.93.219:4145,1.20.93.219,4145,"HTTP,SOCKS4,SOCKS5",0,
1.20.95.95:5678,1.20.95.95,5678,"HTTP,SOCKS4,SOCKS5",0,
1.20.96.156:4153,1.20.96.156,4153,SOCKS4,0,
1.20.97.181:34102,1.20.97.181,34102,SOCKS4,0,
1.20.97.181:5528,1.20.97.181,5528,HTTP,0,
1.203.155.22:3128,1.203.155.22,3128,HTTP,0,
1.212.157.114:4145,1.212.157.114,4145,"HTTP,SOCKS4,SOCKS5",0,
1.215.162.195:4145,1.215.162.195,4145,HTTP,0,
1.220.145.45:4145,1.220.145.45,4145,SOCKS4,0,
1.221.173.148:4145,1.221.173.148,4145,SOCKS4,0,
1.224.3.122:3888,1.224.3.122,3888,"HTTP,SOCKS4,SOCKS5",0,
1.224.3.122:3889,1.224.3.122,3889,"HTTP,SOCKS4,SOCKS5",0,
1.225.152.145:8089,1.225.152.145,8089,HTTP,0,
1.225.152.19:8089,1.225.152.19,8089,HTTP,0,
1.225.152.66:8089,1.225.152.66,8089,HTTP,0,
1.225.153.172:8089,1.225.153.172,8089,HTTP,0,
1.225.153.236:8089,1.225.153.236,8089,HTTP,0,
1.230.21.150:8443,1.230.21.150,8443,"HTTP,HTTPS,SOCKS4,SOCKS5",0,
1.231.77.174:1080,1.231.77.174,1080,HTTP,0,
1.234.23.159:80,1.234.23.159,80,"HTTP,SOCKS4,SOCKS5",0,
1.234.23.221:3128,1.234.23.221,3128,HTTP,0,
1.234.23.47:3128,1.234.23.47,3128,"HTTP,SOCKS4,SOCKS5",0,
1.234.28.160:80,1.234.28.160,80,"HTTP,SOCKS4,SOCKS5",0,
1.234.75.14:80,1.234.75.14,80,HTTP,0,
1.254.171.167:1080,1.254.171.167,1080,"HTTP,SOCKS4,SOCKS5",0,
1.27.226.210:8060,1.27.226.210,8060,HTTP,0,
1.32.57.85:5678,1.32.57.85,5678,"HTTP,SOCKS4,SOCKS5",0,
1.32.59.217:31981,1.32.59.217,31981,"HTTP,HTTPS,SOCKS4,SOCKS5",0,
1.32.59.217:47025,1.32.59.217,47025,SOCKS4,0,
1.32.59.217:4704,1.32.59.217,4704,HTTP,0,
1.32.59.217:47045,1.32.59.217,47045,"HTTP,HTTPS",0,
1.35.70.249:3128,1.35.70.249,3128,HTTP,0,
1.4.145.244:4145,1.4.145.244,4145,"SOCKS4,SOCKS5",0,
1.4.146.16:8080,1.4.146.16,8080,HTTP,0,
1.4.148.10:4145,1.4.148.10,4145,SOCKS4,0,
1.4.157.35:36202,1.4.157.35,36202,SOCKS4,0,
1.4.195.114:4145,1.4.195.114,4145,SOCKS4,0,
1.4.198.132:8081,1.4.198.132,8081,HTTP,0,
1.4.198.141:8080,1.4.198.141,8080,HTTP,0,
1.4.198.152:4145,1.4.198.152,4145,"SOCKS4,SOCKS5",0,
1.4.198.154:8080,1.4.198.154,8080,"HTTP,HTTPS,SOCKS4,SOCKS5",0,
1.4.201.203:4145,1.4.201.203,4145,"SOCKS4,SOCKS5",0,
1.4.214.148:5678,1.4.214.148,5678,SOCKS4,0,
1.4.214.178:8080,1.4.214.178,8080,"HTTP,SOCKS5",0,
1.52.115.226:8080,1.52.115.226,8080,HTTP,0,
1.52.225.253:8080,1.52.225.253,8080,HTTP,0,
1.52.252.32:4006,1.52.252.32,4006,HTTP,0,
1.52.48.25:11111,1.52.48.25,11111,"HTTP,HTTPS,SOCKS4,SOCKS5",0,
1.53.12.92:8080,1.53.12.92,8080,HTTP,0,
1.53.137.92:4145,1.53.137.92,4145,SOCKS4,0,
1.55.240.156:53281,1.55.240.156,53281,HTTP,0,
1.55.241.4:4145,1.55.241.4,4145,"HTTP,SOCKS4,SOCKS5",0,
1.84.218.183:1081,1.84.218.183,1081,"SOCKS4,SOCKS5",0,
1.85.33.94:6666,1.85.33.94,6666,"HTTP,HTTPS,SOCKS4,SOCKS5",0,
1.85.52.250:9797,1.85.52.250,9797,"HTTP,HTTPS",0,
1.9.164.242:35471,1.9.164.242,35471,SOCKS4,0,
1.9.167.35:60489,1.9.167.35,60489,"HTTP,SOCKS4",0,
1.9.167.36:60489,1.9.167.36,60489,SOCKS4,0,
1.9.213.114:4153,1.9.213.114,4153,"HTTP,SOCKS4",0,
1.9.27.212:4153,1.9.27.212,4153,"HTTP,SOCKS4",0,
1.9.27.218:4153,1.9.27.218,4153,"SOCKS4,SOCKS5",0,
1.9.27.219:4153,1.9.27.219,4153,"HTTP,SOCKS4,SOCKS5",0,
1.9.83.210:1337,1.9.83.210,1337,"HTTP,HTTPS",0,
1.94.135.234:3128,1.94.135.234,3128,HTTP,0,
1.94.31.35:8888,1.94.31.35,8888,HTTP,0,
100.1.140.55:8080,100.1.140.55,8080,"HTTP,SOCKS4,SOCKS5",0,
100.1.53.24:5678,100.1.53.24,5678,"HTTP,SOCKS4,SOCKS5",0,
100.2.109.83:8080,100.2.109.83,8080,"SOCKS4,SOCKS5",0,
100.232.64.171:8080,100.232.64.171,8080,HTTPS,0,
100.34.217.177:999,100.34.217.177,999,"HTTP,SOCKS4,SOCKS5",0,
100.36.158.82:8888,100.36.158.82,8888,"HTTP,SOCKS4,SOCKS5",0,
100.4.50.233:8080,100.4.50.233,8080,"HTTP,SOCKS5",0,
101.101.209.204:1080,101.101.209.204,1080,SOCKS5,0,
101.101.216.137:3128,101.101.216.137,3128,SOCKS4,0,
101.101.219.233:1080,101.101.219.233,1080,SOCKS5,0,
101.108.1.229:8080,101.108.1.229,8080,HTTP,0,
101.108.12.114:8080,101.108.12.114,8080,HTTP,0,
101.108.123.174:8080,101.108.123.174,8080,"HTTP,SOCKS4,SOCKS5",0,
101.108.154.17:8080,101.108.154.17,8080,"HTTP,HTTPS",0,
